City,Year,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Alachua,2019,10070,41,0,4,7,30,230,32,191,7,1
Altamonte Springs,2019,44582,107,0,14,31,62,1408,111,1212,85,1
Altha,2019,504,0,0,0,0,0,0,0,0,0,0
Apopka,2019,55072,206,0,25,41,140,1931,375,1406,150,1
Arcadia,2019,8274,55,3,2,7,43,106,30,70,6,2
Astatula,2019,2091,3,0,0,0,3,10,2,6,2,0
Atlantic Beach,2019,13983,36,1,2,6,27,197,37,145,15,1
Atlantis,2019,2126,6,0,0,2,4,54,6,41,7,0
Auburndale,2019,16679,55,0,6,16,33,715,101,596,18,0
Aventura,2019,38259,69,1,6,26,36,1815,87,1677,51,1
Bal Harbour Village,2019,3086,0,0,0,0,0,98,3,92,3,0
Bartow,2019,20296,77,2,9,10,56,613,98,491,24,2
Bay Harbor Islands,2019,6018,3,0,2,0,1,51,4,36,11,0
Belleair,2019,4253,1,0,0,0,1,32,8,21,3,0
Belleair Beach,2019,1618,1,0,0,1,0,18,4,14,0,0
Belleair Bluffs,2019,2209,2,1,0,0,1,33,6,25,2,0
Belle Glade,2019,20301,200,4,9,16,171,405,81,292,32,5
Belle Isle,2019,7326,16,0,0,9,7,119,23,70,26,0
Belleview,2019,5086,20,0,3,6,11,208,71,129,8,2
Biscayne Park,2019,3169,6,0,0,0,6,30,5,25,0,0
Blountstown,2019,2473,6,0,0,0,6,36,8,23,5,0
Boca Raton,2019,101163,186,3,36,63,84,2183,244,1769,170,6
Bonifay,2019,2683,3,1,0,0,2,5,3,0,2,0
Bowling Green,2019,2899,5,0,0,0,5,46,16,27,3,0
Boynton Beach,2019,79360,566,4,30,120,412,2618,254,2147,217,3
Bradenton,2019,58782,360,6,22,57,275,1474,204,1191,79,2
Bradenton Beach,2019,1292,2,0,0,1,1,21,3,17,1,0
Brooksville,2019,8373,50,0,8,10,32,332,60,255,17,4
Bunnell,2019,2865,33,0,1,3,29,105,26,62,17,0
Cape Coral,2019,194183,226,5,16,36,169,2176,274,1739,163,6
Casselberry,2019,29244,90,0,7,18,65,936,96,788,52,2
Cedar Key,2019,685,1,0,0,0,1,10,3,6,1,0
Center Hill,2019,1472,1,0,0,0,1,5,2,3,0,0
Chattahoochee,2019,3004,16,2,2,0,12,92,15,47,30,0
Chiefland,2019,2162,0,0,0,0,0,55,27,26,2,0
Chipley,2019,3567,26,0,2,5,19,115,13,88,14,0
Clearwater,2019,117458,469,2,80,98,289,2810,268,2370,172,5
Clermont,2019,37818,79,1,11,11,56,678,80,555,43,0
Clewiston,2019,8098,26,1,1,5,19,211,73,130,8,0
Cocoa,2019,18807,151,2,5,58,86,965,137,768,60,3
Cocoa Beach,2019,11806,64,1,6,7,50,300,21,266,13,0
Coconut Creek,2019,62471,82,2,13,19,48,1010,89,802,119,0
Cooper City,2019,36890,26,0,7,8,11,360,34,303,23,1
Coral Gables,2019,51530,50,0,4,17,29,1343,157,1103,83,4
Coral Springs,2019,134967,195,2,40,55,98,2309,163,1977,169,2
Crescent City,2019,1540,10,0,0,2,8,40,7,31,2,0
Crestview,2019,25152,96,3,11,20,62,644,107,478,59,1
Cross City,2019,1710,2,0,0,0,2,2,0,2,0,0
Cutler Bay,2019,45452,94,3,7,28,56,1328,63,1172,93,1
Dade City,2019,7337,36,0,8,5,23,287,32,245,10,0
Dania Beach,2019,32593,221,2,31,59,129,1006,112,780,114,2
Davenport,2019,5814,5,0,0,0,5,76,22,44,10,0
Davie,2019,108486,276,2,21,63,190,2796,203,2316,277,11
Daytona Beach,2019,69834,794,13,18,109,654,2833,380,2213,240,10
Daytona Beach Shores,2019,4579,9,0,0,2,7,107,19,80,8,0
Deerfield Beach,2019,81602,351,6,31,99,215,2161,211,1703,247,2
